tag,start,end,rs_threshold,breakout_volume,stop_max_pct,max_positions,trades,sharpe,cagr,max_dd,total_return,win_rate,wl_ratio,exposure,audit_passed,run_id,error
full,2022-01-03,2024-06-28,90,1.2,0.06,4,98,0.06729625850703375,0.0022633951968931143,-0.06645522481190969,0.005629970245146776,0.30612244897959184,2.3524425231598234,0.17621266999624619,True,full_rs_90_bre1.2_sto0.06_max4,
full,2022-01-03,2024-06-28,90,1.2,0.06,6,119,-0.40324655249416497,-0.02190881168447767,-0.07739511057866788,-0.05352379976163346,0.2773109243697479,2.2894973846919506,0.13867344289660197,True,full_rs_90_bre1.2_sto0.06_max6,
full,2022-01-03,2024-06-28,90,1.2,0.06,8,124,-0.3564170534584034,-0.01544279548096017,-0.06411351396465259,-0.037909932823693926,0.28225806451612906,2.2284779730317394,0.11780440250518602,True,full_rs_90_bre1.2_sto0.06_max8,
full,2022-01-03,2024-06-28,90,1.2,0.06,12,128,-0.34179647858612244,-0.011527402578277446,-0.05230788510047102,-0.02838094069599162,0.28125,2.2223841583134902,0.0880672054504344,True,full_rs_90_bre1.2_sto0.06_max12,
full,2022-01-03,2024-06-28,90,1.2,0.08,4,83,0.33828387074150773,0.026101694197909087,-0.127082433734378,0.06607646544098578,0.3253012048192771,2.402083194375422,0.19324868507609616,True,full_rs_90_bre1.2_sto0.08_max4,
full,2022-01-03,2024-06-28,90,1.2,0.08,6,105,-0.16031248448497576,-0.010096817716571116,-0.07530519429453397,-0.024885289650825038,0.29523809523809524,2.2946713826543665,0.14309869667738837,True,full_rs_90_bre1.2_sto0.08_max6,
full,2022-01-03,2024-06-28,90,1.2,0.08,8,110,-0.24757465199207546,-0.01135829070463168,-0.06894547954892893,-0.02796810460663468,0.2818181818181818,2.262990109877102,0.11987756884579183,True,full_rs_90_bre1.2_sto0.08_max8,
full,2022-01-03,2024-06-28,90,1.2,0.08,12,113,-0.24990840873553855,-0.009524015348403192,-0.05271895007049043,-0.02348353759397126,0.2831858407079646,2.251560650988823,0.09827985981099847,True,full_rs_90_bre1.2_sto0.08_max12,
full,2022-01-03,2024-06-28,90,1.2,0.1,4,82,0.11710856816141335,0.0066720543097786855,-0.17178549090938722,0.01665031920428306,0.3170731707317073,2.4225945124034265,0.19844257736720944,True,full_rs_90_bre1.2_sto0.1_max4,
full,2022-01-03,2024-06-28,90,1.2,0.1,6,103,-0.07952382857887895,-0.0074496599988891354,-0.10404952503700438,-0.01839714272321802,0.2815533980582524,2.302164944410854,0.1538206496036246,True,full_rs_90_bre1.2_sto0.1_max6,
full,2022-01-03,2024-06-28,90,1.2,0.1,8,109,-0.15911692647134346,-0.00939962385515658,-0.09154966059942338,-0.023178969916848757,0.27522935779816515,2.2487699937269685,0.1278732035852411,True,full_rs_90_bre1.2_sto0.1_max8,
full,2022-01-03,2024-06-28,90,1.2,0.1,12,112,-0.21518963080539413,-0.009616526279099147,-0.06825147734249182,-0.023710010185006403,0.2767857142857143,2.2179780382406276,0.10394993723588164,True,full_rs_90_bre1.2_sto0.1_max12,
full,2022-01-03,2024-06-28,90,1.4,0.06,4,74,-0.048275202792098196,-0.004581682000072473,-0.07084619478128529,-0.011338743224211911,0.32432432432432434,2.249186504761523,0.14441098700516217,True,full_rs_90_bre1.4_sto0.06_max4,
