ticker,quarter_end_date,q4_eps,sum_4q,fy_eps,gap,flag
ACM,2020-09-30,-1.42,-1.16,-1.16,0.0,False
ACM,2021-09-30,0.66,1.17,1.16,0.01,False
ACM,2022-09-30,0.75,2.19,2.18,0.01,False
ACM,2023-09-30,0.18,0.39,0.39,0.0,False
ACM,2024-09-30,1.28,2.96,2.95,0.01,False
ACM,2025-09-30,0.9,4.21,4.21,0.0,False
ACMR,2017-12-31,0.28,-0.45,-0.05,0.4,True
ACMR,2018-12-31,0.11,0.32,0.37,0.05,False
ACMR,2019-12-31,0.19,0.97,0.99,0.02,False
ACMR,2020-12-31,0.34,0.82,0.89,0.07,True
ACMR,2021-12-31,0.73,1.74,1.73,0.01,False
ACMR,2023-12-31,0.27,1.18,1.16,0.02,False
ACMR,2024-12-31,0.47,1.53,1.53,0.0,False
ACMR,2025-12-31,0.11,1.37,1.37,0.0,False
ACT,2021-12-31,0.94,3.35,3.36,0.01,False
ACT,2022-12-31,0.88,4.31,4.31,0.0,False
ACT,2023-12-31,0.98,4.12,4.11,0.01,False
ACT,2024-12-31,1.05,4.37,4.37,0.0,False
ACT,2025-12-31,1.22,4.51,4.52,0.01,False
ADAM,2014-12-31,0.42,1.47,1.48,0.01,False
ADAM,2015-12-31,0.01,0.62,0.62,0.0,False
ADAM,2016-12-31,0.09,0.5,0.5,0.0,False
ADAM,2017-12-31,0.18,0.63,0.66,0.03,False
ADAM,2018-12-31,0.04,0.64,0.61,0.03,False
ADAM,2019-12-31,0.18,0.62,0.64,0.02,False
ADAM,2020-12-31,0.21,-0.99,-0.89,0.1,True
ADAM,2021-12-31,0.06,0.38,0.38,0.0,False
ADAM,2022-12-31,-0.13,-0.9,-0.9,0.0,False
ADAM,2024-12-31,-0.46,-1.14,-1.14,0.0,False
ADAM,2025-12-31,0.45,1.1,1.1,0.0,False
ADC,2014-12-31,0.36,1.24,1.24,0.0,False
ADC,2015-12-31,0.41,2.17,2.16,0.01,False
ADC,2016-12-31,0.5,1.95,1.97,0.02,False
ADC,2017-12-31,0.56,2.1,2.08,0.02,False
ADC,2018-12-31,0.37,1.79,1.78,0.01,False
ADC,2019-12-31,0.52,1.93,1.93,0.0,False
ADC,2020-12-31,0.42,1.74,1.74,0.0,False
ADC,2021-12-31,0.44,1.78,1.78,0.0,False
ADC,2022-12-31,0.44,1.83,1.83,0.0,False
ADC,2023-12-31,0.44,1.71,1.7,0.01,False
ADC,2024-12-31,0.41,1.78,1.78,0.0,False
ADC,2025-12-31,0.47,1.77,1.77,0.0,False
ADEA,2020-12-31,1.66,1.44,1.75,0.31,True
ADEA,2021-12-31,-0.14,-0.53,-0.53,0.0,False
ADEA,2022-12-31,0.65,-2.83,-2.75,0.08,False
ADEA,2023-12-31,0.11,0.59,0.6,0.01,False
ADEA,2024-12-31,0.32,0.57,0.57,0.0,False
ADEA,2025-12-31,0.65,0.98,0.99,0.01,False
ADM,2014-12-31,1.08,3.43,3.43,0.0,False
ADM,2015-12-31,1.19,2.99,2.98,0.01,False
ADM,2016-12-31,0.73,2.18,2.16,0.02,False
ADM,2017-12-31,1.39,2.8,2.79,0.01,False
ADM,2018-12-31,0.55,3.19,3.19,0.0,False
ADM,2019-12-31,0.89,2.44,2.44,0.0,False
ADM,2020-12-31,1.22,3.15,3.15,0.0,False
ADM,2021-12-31,1.38,4.79,4.79,0.0,False
ADM,2022-12-31,1.84,7.71,7.71,0.0,False
ADM,2023-12-31,1.06,6.4,6.43,0.03,False
ADM,2024-12-31,1.18,3.62,3.65,0.03,False
ADM,2025-12-31,0.94,2.22,2.23,0.01,False
ADMA,2020-12-31,-0.2,-0.88,-0.88,0.0,False
ADMA,2021-12-31,-0.09,-0.53,-0.51,0.02,False
ADMA,2022-12-31,-0.06,-0.34,-0.33,0.01,False
ADMA,2023-12-31,-0.08,-0.13,-0.13,0.0,False
ADMA,2024-12-31,0.45,0.81,0.81,0.0,False
ADMA,2025-12-31,0.2,0.6,0.6,0.0,False
ADNT,2017-09-30,3.54,9.34,9.34,0.0,False
ADNT,2018-09-30,-14.59,-18.13,-18.06,0.07,False
ADNT,2019-09-30,-0.04,-5.24,-5.25,0.01,False
ADNT,2020-09-30,-0.38,-5.82,-5.83,0.01,False
ADNT,2021-09-30,9.82,11.37,11.58,0.21,False
ADNT,2022-09-30,0.47,-1.27,-1.27,0.0,False
ADNT,2023-09-30,1.41,2.15,2.15,0.0,False
