ticker,from,to,days,from_q,to_q,class,evidence
RXO,2021-09-30,2022-03-31,182,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-12-31:10-K; EarningsPerShareDiluted:2021-12-31:10-K; NetIncomeLoss:2021-12-31:10-K
RYAN,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,NetIncomeLoss:2020-12-31:10-K; ProfitLoss:2020-12-31:10-K; RevenueFromContractWithCustomerIncludingAssessedTax:2020-12-31:10-K
SARO,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
SEZL,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
SHC,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
SKT,2021-09-30,2022-03-31,182,Q3 2021,Q1 2022,NO_10K_FACTS,
SKT,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,NO_10K_FACTS,
SKT,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,NO_10K_FACTS,
SKT,2024-09-30,2025-03-31,182,Q3 2024,Q1 2025,NO_10K_FACTS,
SKT,2025-09-30,2026-03-31,182,Q3 2025,Q1 2026,NO_10K_FACTS,
SLVM,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; InterestIncomeExpenseNet:2020-12-31:10-K
SN,2025-06-30,2025-12-31,184,Q2 2025,Q4 2025,SOURCE_GAP,
SOLS,2024-09-30,2025-03-31,182,Q3 2024,Q1 2025,ANNUAL_ONLY,EarningsPerShareBasic:2024-12-31:10-K; EarningsPerShareDiluted:2024-12-31:10-K; NetIncomeLoss:2024-12-31:10-K
SPHR,2024-09-30,2025-03-31,182,Q1 2025,Q3 2025,SOURCE_GAP,
SPHR,2025-03-31,2025-09-30,183,Q3 2025,Q1 2026,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2025-06-30:10-Q; EarningsPerShareDiluted:2025-06-30:10-Q; NetIncomeLoss:2025-06-30:10-Q
STEP,2020-09-30,2021-03-31,182,Q3 2021,Q4 2021,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2020-12-31:10-Q; EarningsPerShareDiluted:2020-12-31:10-Q; NetIncomeLoss:2020-12-31:10-Q
SUPN,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
TLN,2023-03-31,2023-09-30,183,Q1 2023,Q3 2023,SOURCE_GAP,
TLN,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,SOURCE_GAP,
