ticker,effective_date,ratio,verdict,median_orig_over_restated,n_quarters,store_rows_on_wrong_basis
TREX,2020-09-14,2,CONFIRMED,1.974291364535267,6,
TRN,2014-06-19,2,CONFIRMED,2.0,5,
TRST,2021-05-27,1/5,NO_EVIDENCE,,0,
TTC,2016-09-16,2,CONFIRMED,2.0,7,
TTEK,2024-09-06,5,CONFIRMED,5.0,7,
UA,2014-04-14,2,CONFIRMED,1.9833333333333334,2,
UA,2016-04-07,2,NO_EVIDENCE,,0,
UAA,2014-04-14,2,CONFIRMED,1.9833333333333334,2,
UAA,2016-04-07,2,NO_EVIDENCE,,0,
UFPI,2017-11-14,3,CONFIRMED,2.9818181818181815,7,
UGI,2014-09-05,3/2,CONFIRMED,1.5,4,
USFD,2016-05-17,10/27,NO_EVIDENCE,,0,
USLM,2024-07-12,5,CONFIRMED,5.000000000000001,3,
VAL,2019-04-11,1/4,NO_EVIDENCE,,0,
VCTR,2018-02-01,87597/500,NO_EVIDENCE,,0,
VSEC,2016-08-03,2,CONFIRMED,1.9930555555555556,6,
VTOL,2020-06-11,1/3,NO_EVIDENCE,,0,
WLK,2014-03-18,2,CONFIRMED,2.0,4,
WMS,2014-07-11,4707/1000,NO_EVIDENCE,,0,
WMT,2024-02-23,3,CONFIRMED,2.981345115365734,2,
WSFS,2015-05-18,3,CONFIRMED,3.0,5,
