ticker,action,date_or_period,category,confidence,source_url,in_index_universe,in_wider_universe,price_data,check_day,trend_template,rs_pct,fundamentals,breakout_signal,regime_open,passes_all,our_candidate_within_30d,our_trade_within_30d
META,SELL,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
NFLX,SELL,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
NVDA,SELL,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,True,True,,,,,,,,,
RMBS,SELL,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,True,True,True,2024-01-10,True,93.7,FAIL,False,True,False,,
TJX,HOLD,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
UBER,HOLD,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
URBN,HOLD,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,True,True,True,2024-01-10,True,86.2,FAIL,False,True,False,,
VMC,SELL,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
IBIT,BUY,2024-02-07,own_trade,high,https://x.com/markminervini/status/1762138783422566690,False,False,False,,,,,,,,,
IBIT,HOLD,2024-03-04,own_trade,high,https://x.com/markminervini/status/1764797131406074159,False,False,False,,,,,,,,,
MU,BUY,2024-04-26,own_trade,high,https://x.com/markminervini/status/1795475913833845049,False,False,False,,,,,,,,,
MU,HOLD,2024-05-28,own_trade,high,https://x.com/markminervini/status/1795475913833845049,False,False,False,,,,,,,,,
APP,BUY,2024-09-12,own_trade,medium,https://x.com/markminervini/status/1834268442897064242,False,True,True,,,,,,,,,
AXON,BUY,2024-09-12,own_trade,medium,https://x.com/markminervini/status/1834268442897064242,False,True,True,,,,,,,,,
DVA,BUY,2024-09-12,own_trade,medium,https://x.com/markminervini/status/1834268442897064242,False,False,False,,,,,,,,,
LMB,BUY,2024-09-12,own_trade,medium,https://x.com/markminervini/status/1834268442897064242,False,False,False,,,,,,,,,
NMM,BUY,2024-09-12,own_trade,medium,https://x.com/markminervini/status/1834268442897064242,False,False,False,,,,,,,,,
ONON,HOLD,2024-09-12,own_trade,high,https://x.com/markminervini/status/1834268442897064242,False,True,True,,,,,,,,,
SCHW,SELL,2024-09-12,own_trade,high,https://x.com/markminervini/status/1834268442897064242,False,False,False,,,,,,,,,
