ticker,cik,fy_end,fy_10k_accn,fy_10k_filed,restated_fields,n_restated_items,restated_detail,direct_q4_eps,direct_q4_net_income,direct_q4_revenue,eps_concept,net_income_concept,revenue_concept,press_release_q4_eps,stored_q4_eps,stored_q4_net_income,stored_q4_revenue,match_eps,match_net_income,match_revenue,in_store,bucket,bucket_store_final_2
VOYA,1535929,2015-12-31,0001535929-16-000059,2016-02-25,net_income,1,net_income 2015-03-31: 10-Q 1.855e+08 -> 10-K 1.896e+08,,-106800000.0,1996800000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,-0.5,-106800000.0,1996800000.0,n/a,yes,yes,True,ok,ok
VOYA,1535929,2017-12-31,0001535929-18-000006,2018-02-23,revenue,3,revenue 2017-03-31: 10-Q 2.2134e+09 -> 10-K 2.057e+09; revenue 2017-06-30: 10-Q 2.5888e+09 -> 10-K 2.191e+09; revenue 2017-09-30: 10-Q 2.5502e+09 -> 10-K 2.184e+09,-17.64,-3165000000.0,2186000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,-18.12,-3164300000.0,2186000000.0,no,yes,yes,True,"EPS_ONLY_large (NI agrees: share basis, or direct EPS is another line)","EPS_ONLY_large (NI agrees: share basis, or direct EPS is another line e.g. continuing ops)"
VOYA,1535929,2019-12-31,0001535929-20-000012,2020-02-21,"net_income,revenue",4,revenue 2019-03-31: 10-Q 2.197e+09 -> 10-K 1.822e+09; revenue 2019-06-30: 10-Q 2.346e+09 -> 10-K 1.969e+09; revenue 2019-09-30: 10-Q 2.237e+09 -> 10-K 1.875e+09; net_income 2019-09-30: 10-Q 1.2e+08 -> 10-K 1.21e+08,-5.45,-772000000.0,1810000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,-5.44,-772000000.0,1810000000.0,yes,yes,yes,True,ok,ok
VOYA,1535929,2020-12-31,0001535929-21-000025,2021-03-01,"eps,net_income",4,net_income 2020-03-31: 10-Q -8.4e+07 -> 10-K -8.6e+07; net_income 2020-06-30: 10-Q -6.7e+07 -> 10-K -6.2e+07; eps 2020-03-31: 10-Q -0.71 -> 10-K -0.73; eps 2020-06-30: 10-Q -0.55 -> 10-K -0.51,1.94,261000000.0,2224000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,1.92,261000000.0,2230000000.0,no,yes,yes,True,EPS_ONLY_small (<=0.03; rounding/dilution),EPS_ONLY_small (<=0.03; rounding/dilution)
VRRM,1682745,2018-12-31,0001564590-19-008329,2019-03-18,net_income,3,net_income 2018-03-31: 10-Q 801904 -> 10-K -2.21578e+07; net_income 2018-06-30: 10-Q -1.54829e+06 -> 10-K -4.79502e+06; net_income 2018-09-30: 10-Q -692489 -> 10-K 6.51271e+06,,-37954403.0,,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,-0.43,-37954403.0,95105412.0,n/a,yes,n/a,True,ok,ok
VVV,1674910,2016-09-30,0001674910-17-000042,2017-11-17,eps,2,eps 2015-12-31: 10-Q 0.32 -> 10-K 0.38; eps 2016-03-31: 10-Q 0.33 -> 10-K 0.4,0.38,65000000.0,494000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,,,,stored_missing,stored_missing,stored_missing,False,q4_row_not_in_store,q4_row_not_in_store
VVX,1601548,2014-12-31,0001601548-15-000012,2015-03-16,net_income,1,net_income 2014-09-30: 10-Q 2e+06 -> 10-K 2.115e+06,0.31,3331000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,0.29,3331000.0,,no,yes,n/a,True,EPS_ONLY_small (<=0.03; rounding/dilution),EPS_ONLY_small (<=0.03; rounding/dilution)
VYX,70866,2016-12-31,0000070866-17-000013,2017-02-24,net_income,3,net_income 2016-03-31: 10-Q 3.2e+07 -> 10-K 2.1e+07; net_income 2016-06-30: 10-Q 7.6e+07 -> 10-K 6.3e+07; net_income 2016-09-30: 10-Q 1.05e+08 -> 10-K 9.2e+07,0.35,45000000.0,1802000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.35,57000000.0,1802000000.0,yes,no,yes,True,"NI_ONLY (EPS agrees: NI definition, e.g. preferred / NCI / OP units)",NI_and_EPS (or more) disagree: derivation/basis error candidate
VYX,70866,2017-12-31,0000070866-18-000010,2018-02-26,net_income,3,net_income 2017-03-31: 10-Q 5.7e+07 -> 10-K -1.7e+07; net_income 2017-06-30: 10-Q 1.02e+08 -> 10-K 9e+07; net_income 2017-09-30: 10-Q 1.18e+08 -> 10-K 1.06e+08,-0.46,-56000000.0,1782000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,-0.46,-45000000.0,1782000000.0,yes,no,yes,True,"NI_ONLY (EPS agrees: NI definition, e.g. preferred / NCI / OP units)",NI_and_EPS (or more) disagree: derivation/basis error candidate
VYX,70866,2018-12-31,0000070866-19-000007,2019-02-28,net_income,3,net_income 2018-03-31: 10-Q 2e+07 -> 10-K 8e+06; net_income 2018-06-30: 10-Q -1.45e+08 -> 10-K -1.57e+08; net_income 2018-09-30: 10-Q 8.4e+07 -> 10-K 7.2e+07,-0.51,-60000000.0,1801000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,-0.51,-47000000.0,1801000000.0,yes,no,yes,True,"NI_ONLY (EPS agrees: NI definition, e.g. preferred / NCI / OP units)",NI_and_EPS (or more) disagree: derivation/basis error candidate
